case_id,repository,symbol_name,memory_statement,annotation_label (VALID/STALE/UNCERTAIN),rationale
v2_case_000_click_R_cat_a,click,R,Symbol `R` defines core implementation in `src/click/utils.py`.,,
v2_case_001_click__KeepOpenFile_cat_a,click,_KeepOpenFile,Symbol `_KeepOpenFile` defines core implementation in `src/click/utils.py`.,,
v2_case_002_click__KeepOpenFile___enter___cat_a,click,_KeepOpenFile.__enter__,Symbol `_KeepOpenFile.__enter__` defines core implementation in `src/click/utils.py`.,,
v2_case_003_click__KeepOpenFile___exit___cat_a,click,_KeepOpenFile.__exit__,Symbol `_KeepOpenFile.__exit__` defines core implementation in `src/click/utils.py`.,,
v2_case_004_click__KeepOpenFile___getattr___cat_a,click,_KeepOpenFile.__getattr__,Symbol `_KeepOpenFile.__getattr__` defines core implementation in `src/click/utils.py`.,,
v2_case_005_click__KeepOpenFile___init___cat_a,click,_KeepOpenFile.__init__,Symbol `_KeepOpenFile.__init__` defines core implementation in `src/click/utils.py`.,,
v2_case_006_click__KeepOpenFile___iter___cat_a,click,_KeepOpenFile.__iter__,Symbol `_KeepOpenFile.__iter__` defines core implementation in `src/click/utils.py`.,,
v2_case_007_click__KeepOpenFile___repr___cat_a,click,_KeepOpenFile.__repr__,Symbol `_KeepOpenFile.__repr__` defines core implementation in `src/click/utils.py`.,,
v2_case_008_click__LazyFile___enter___cat_a,click,_LazyFile.__enter__,Symbol `_LazyFile.__enter__` defines core implementation in `src/click/utils.py`.,,
v2_case_009_click__LazyFile___exit___cat_a,click,_LazyFile.__exit__,Symbol `_LazyFile.__exit__` defines core implementation in `src/click/utils.py`.,,
v2_case_010_click__LazyFile___getattr___cat_a,click,_LazyFile.__getattr__,Symbol `_LazyFile.__getattr__` defines core implementation in `src/click/utils.py`.,,
v2_case_011_click__LazyFile___init___cat_a,click,_LazyFile.__init__,Symbol `_LazyFile.__init__` defines core implementation in `src/click/utils.py`.,,
v2_case_012_click__LazyFile___iter___cat_a,click,_LazyFile.__iter__,Symbol `_LazyFile.__iter__` defines core implementation in `src/click/utils.py`.,,
v2_case_013_click__LazyFile___repr___cat_a,click,_LazyFile.__repr__,Symbol `_LazyFile.__repr__` defines core implementation in `src/click/utils.py`.,,
v2_case_014_click__LazyFile_close_cat_a,click,_LazyFile.close,Symbol `_LazyFile.close` defines core implementation in `src/click/utils.py`.,,
v2_case_015_click__LazyFile_close_intelligently_cat_a,click,_LazyFile.close_intelligently,Symbol `_LazyFile.close_intelligently` defines core implementation in `src/click/utils.py`.,,
v2_case_016_click__LazyFile_open_cat_a,click,_LazyFile.open,Symbol `_LazyFile.open` defines core implementation in `src/click/utils.py`.,,
v2_case_017_click__PacifyFlushWrapper_cat_a,click,_PacifyFlushWrapper,Symbol `_PacifyFlushWrapper` defines core implementation in `src/click/utils.py`.,,
v2_case_018_click__PacifyFlushWrapper___getattr___cat_a,click,_PacifyFlushWrapper.__getattr__,Symbol `_PacifyFlushWrapper.__getattr__` defines core implementation in `src/click/utils.py`.,,
v2_case_019_click__PacifyFlushWrapper___init___cat_a,click,_PacifyFlushWrapper.__init__,Symbol `_PacifyFlushWrapper.__init__` defines core implementation in `src/click/utils.py`.,,
v2_case_020_click__PacifyFlushWrapper_flush_cat_a,click,_PacifyFlushWrapper.flush,Symbol `_PacifyFlushWrapper.flush` defines core implementation in `src/click/utils.py`.,,
