case_id,annotator_id,decision,confidence,rationale,affected_by_file_diff,affected_by_symbol_edit,affected_by_dependency_break
MV21-000001,Annotator_A,,,,,,
MV21-000002,Annotator_A,,,,,,
MV21-000003,Annotator_A,,,,,,
MV21-000004,Annotator_A,,,,,,
MV21-000005,Annotator_A,,,,,,
MV21-000006,Annotator_A,,,,,,
MV21-000007,Annotator_A,,,,,,
MV21-000008,Annotator_A,,,,,,
MV21-000009,Annotator_A,,,,,,
MV21-000010,Annotator_A,,,,,,
MV21-000011,Annotator_A,,,,,,
MV21-000012,Annotator_A,,,,,,
MV21-000013,Annotator_A,,,,,,
MV21-000014,Annotator_A,,,,,,
MV21-000015,Annotator_A,,,,,,
MV21-000016,Annotator_A,,,,,,
MV21-000017,Annotator_A,,,,,,
MV21-000018,Annotator_A,,,,,,
MV21-000019,Annotator_A,,,,,,
MV21-000020,Annotator_A,,,,,,
MV21-000021,Annotator_A,,,,,,
MV21-000022,Annotator_A,,,,,,
MV21-000023,Annotator_A,,,,,,
MV21-000024,Annotator_A,,,,,,
MV21-000025,Annotator_A,,,,,,
MV21-000026,Annotator_A,,,,,,
MV21-000027,Annotator_A,,,,,,
MV21-000028,Annotator_A,,,,,,
MV21-000029,Annotator_A,,,,,,
MV21-000030,Annotator_A,,,,,,
MV21-000031,Annotator_A,,,,,,
MV21-000032,Annotator_A,,,,,,
MV21-000033,Annotator_A,,,,,,
MV21-000034,Annotator_A,,,,,,
MV21-000035,Annotator_A,,,,,,
MV21-000036,Annotator_A,,,,,,
MV21-000037,Annotator_A,,,,,,
MV21-000038,Annotator_A,,,,,,
MV21-000039,Annotator_A,,,,,,
MV21-000040,Annotator_A,,,,,,
MV21-000041,Annotator_A,,,,,,
MV21-000042,Annotator_A,,,,,,
MV21-000043,Annotator_A,,,,,,
MV21-000044,Annotator_A,,,,,,
MV21-000045,Annotator_A,,,,,,
MV21-000046,Annotator_A,,,,,,
MV21-000047,Annotator_A,,,,,,
MV21-000048,Annotator_A,,,,,,
MV21-000049,Annotator_A,,,,,,
MV21-000050,Annotator_A,,,,,,
MV21-000051,Annotator_A,,,,,,
MV21-000052,Annotator_A,,,,,,
MV21-000053,Annotator_A,,,,,,
MV21-000054,Annotator_A,,,,,,
MV21-000055,Annotator_A,,,,,,
MV21-000056,Annotator_A,,,,,,
MV21-000057,Annotator_A,,,,,,
MV21-000058,Annotator_A,,,,,,
MV21-000059,Annotator_A,,,,,,
MV21-000060,Annotator_A,,,,,,
MV21-000061,Annotator_A,,,,,,
MV21-000062,Annotator_A,,,,,,
MV21-000063,Annotator_A,,,,,,
MV21-000064,Annotator_A,,,,,,
MV21-000065,Annotator_A,,,,,,
MV21-000066,Annotator_A,,,,,,
MV21-000067,Annotator_A,,,,,,
MV21-000068,Annotator_A,,,,,,
MV21-000069,Annotator_A,,,,,,
MV21-000070,Annotator_A,,,,,,
MV21-000071,Annotator_A,,,,,,
MV21-000072,Annotator_A,,,,,,
MV21-000073,Annotator_A,,,,,,
MV21-000074,Annotator_A,,,,,,
MV21-000075,Annotator_A,,,,,,
MV21-000076,Annotator_A,,,,,,
MV21-000077,Annotator_A,,,,,,
MV21-000078,Annotator_A,,,,,,
MV21-000079,Annotator_A,,,,,,
MV21-000080,Annotator_A,,,,,,
MV21-000081,Annotator_A,,,,,,
MV21-000082,Annotator_A,,,,,,
MV21-000083,Annotator_A,,,,,,
MV21-000084,Annotator_A,,,,,,
MV21-000085,Annotator_A,,,,,,
MV21-000086,Annotator_A,,,,,,
MV21-000087,Annotator_A,,,,,,
MV21-000088,Annotator_A,,,,,,
MV21-000089,Annotator_A,,,,,,
MV21-000090,Annotator_A,,,,,,
MV21-000091,Annotator_A,,,,,,
MV21-000092,Annotator_A,,,,,,
MV21-000093,Annotator_A,,,,,,
MV21-000094,Annotator_A,,,,,,
MV21-000095,Annotator_A,,,,,,
MV21-000096,Annotator_A,,,,,,
MV21-000097,Annotator_A,,,,,,
MV21-000098,Annotator_A,,,,,,
MV21-000099,Annotator_A,,,,,,
MV21-000100,Annotator_A,,,,,,
MV21-000101,Annotator_A,,,,,,
MV21-000102,Annotator_A,,,,,,
MV21-000103,Annotator_A,,,,,,
MV21-000104,Annotator_A,,,,,,
MV21-000105,Annotator_A,,,,,,
MV21-000106,Annotator_A,,,,,,
MV21-000107,Annotator_A,,,,,,
MV21-000108,Annotator_A,,,,,,
MV21-000109,Annotator_A,,,,,,
MV21-000110,Annotator_A,,,,,,
MV21-000111,Annotator_A,,,,,,
MV21-000112,Annotator_A,,,,,,
MV21-000113,Annotator_A,,,,,,
MV21-000114,Annotator_A,,,,,,
MV21-000115,Annotator_A,,,,,,
MV21-000116,Annotator_A,,,,,,
MV21-000117,Annotator_A,,,,,,
MV21-000118,Annotator_A,,,,,,
MV21-000119,Annotator_A,,,,,,
MV21-000120,Annotator_A,,,,,,
MV21-000121,Annotator_A,,,,,,
MV21-000122,Annotator_A,,,,,,
MV21-000123,Annotator_A,,,,,,
MV21-000124,Annotator_A,,,,,,
MV21-000125,Annotator_A,,,,,,
MV21-000126,Annotator_A,,,,,,
