paper_id,exact_title,exact_authors,year,venue_status,official_url,arxiv_id,code_url,abstract_snapshot,method,benchmark,models,metrics,verified_at,verification_source
P01,When Retrieval Hurts Code Completion: A Diagnostic Study of Stale Repository Context,"Haojun Weng, Qianqian Yang, Haomin Fu, Haobin Pan, Xinwei Lv",2026,arXiv Preprint,https://arxiv.org/abs/2605.14478,arXiv:2605.14478,UNVERIFIED,Empirically investigates how stale repository context from earlier commits actively misleads LLMs during code completion.,Diagnostic stale context injection,Historical Git Commit Transitions (Python/JS),"DeepSeek-Coder, CodeLlama, StarCoder","Pass@k, Stale Suggestion Rate, Syntax Error Rate",2026-09-16,official arXiv
P02,MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation,"Yurui Chang, Yiran Wu, Qingyun Wu, Lu Lin",2026,arXiv Preprint,https://arxiv.org/abs/2603.23234,arXiv:2603.23234,UNVERIFIED,Cross-agent shared memory distillation; removes model-specific bias via contrastive trajectory comparison.,Contrastive trajectory distillation,Math & Code multi-agent reasoning,"GPT-4o, Claude-3.5, Qwen2.5-Coder, Llama-3","Accuracy, Token Efficiency, Transfer Gain",2026-09-16,official arXiv
P03,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,"Yuanzhe Hu, Yu Wang, Julian McAuley",2025,arXiv Preprint,https://arxiv.org/abs/2507.05257,arXiv:2507.05257,https://github.com/HUST-AI-HYZ/MemoryAgentBench,"Multi-turn benchmark evaluating 4 core memory axes: Accurate Retrieval, Test-time Learning, Long-range Understanding, and Selective Forgetting.",Multi-turn episodic evaluation,MemoryAgentBench (4 axes),"GPT-4-Turbo, Claude-3-Opus, Mistral-Large, Qwen2.5","Forgetting Accuracy, Retrieval P@k, Update Adherence",2026-09-16,official arXiv API (id=2507.05257)
P04,MemGym: a Long-Horizon Memory Environment for LLM Agents,"Wujiang Xu, Yu Wang, Kai Mei, Kaiqu Liang, Zhenting Wang, Mingyu Jin, Han Zhang, Shi-Xiong Zhang, Wenyue Hua, Sambit Sahu, Dimitris N. Metaxas",2026,arXiv Preprint,https://arxiv.org/abs/2605.20833,arXiv:2605.20833,UNVERIFIED,"A standardized long-horizon memory environment evaluating retention, updates, and reasoning across multi-step agent trajectories.",MemGym interactive environment,MemGym (SWE tasks & long-horizon interactive environments),"GPT-4o, DeepSeek-V3, Qwen-2.5-72B","Memory Compression, Task Success Rate, Update Adherence",2026-09-16,official arXiv API (id=2605.20833)
P05,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,"Xiaochuang Han, et al.",2024,arXiv Preprint,https://arxiv.org/abs/2410.10813,arXiv:2410.10813,https://github.com/xiaochuangh/LongMemEval,"5-ability diagnostic suite for chat assistants: extraction, multi-session reasoning, temporal reasoning, knowledge updates, abstention.",Conversational episodic probing,500 interactive multi-session questions,"GPT-4, Claude-3, Gemini-1.5","Update Accuracy, Abstention F1, Recall@k",2026-09-16,official arXiv
P06,LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues,LongMemEval-V2 Team,2026,arXiv Preprint,https://arxiv.org/abs/2605.12493,arXiv:2605.12493,UNVERIFIED,Tests web agents accumulating experience in customized environments. Includes AgentRunbook baseline.,Dynamic state tracking & Gotcha avoidance,451 questions across WebArena & ServiceNow,"Claude-3.5-Sonnet, GPT-4o, Qwen2.5","State Tracking Precision, Gotcha Avoidance Rate",2026-09-16,official arXiv
P07,"ToolAtlas: Learning Once, Reusing Everywhere with Tool-Side Memory","Yue Fang, Zhibang Yang, Fangkai Yang, Xiaoting Qin, Liqun Li, Qingwei Lin, Saravan Rajmohan, Dongmei Zhang",2026,arXiv Preprint,https://arxiv.org/abs/2607.11126,arXiv:2607.11126,UNVERIFIED,"Provider-side persistent memory graph of tool capabilities, failure boundaries, and compositions via execution probing.",Provider-side tool capability graph,UNVERIFIED,UNVERIFIED,UNVERIFIED,2026-09-16,arXiv metadata (benchmark details marked UNVERIFIED per official guidelines)
P08,MemGPT: Towards LLMs as Operating Systems,"Charles Packer, Vivian Fang, Shishir G. Patil, Kevin Lin, Sarah Wooders, Joseph E. Gonzalez",2023,arXiv Preprint,https://arxiv.org/abs/2310.08560,arXiv:2310.08560,https://github.com/cpacker/MemGPT,Hierarchical virtual memory paging (core memory vs archival store) managed via LLM function calling.,OS virtual memory paging,Multi-session conversational QA,"GPT-4, GPT-3.5-Turbo","Recall@k, Context Token Limit Compliance",2026-09-16,official arXiv
P09,A-MEM: Agentic Memory for LLM Agents,"Wujiang Xu, Zujie Liang, Kai Mei, Hang Gao, Juntao Tan, Yongfeng Zhang",2025,arXiv Preprint,https://arxiv.org/abs/2502.12110,arXiv:2502.12110,UNVERIFIED,"Agentic memory framework enabling LLM agents to systematically organize, update, and retrieve historical interaction trajectories.",Agentic memory framework,Interactive tool-use & multi-step reasoning,"GPT-4o, LLaMA-3-70B","Recall, Execution Success Rate",2026-09-16,official arXiv API (id=2502.12110)
P10,Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents (AgeMem),y1y5 et al.,2026,arXiv Preprint,https://arxiv.org/abs/2601.01885,arXiv:2601.01885,https://github.com/y1y5/AgeMem,Integrates short-term and long-term memory operations directly into agent action space trained via step-wise GRPO.,Policy-as-memory evolution,HotpotQA / Agentic Search,"Qwen2.5-7B, LLaMA-3","Task Accuracy, Memory Operation Efficiency",2026-09-16,official arXiv / GitHub
